time_index,year,month,EXPORT_GOODS_TOTAL__bln_usd,EXPORT_GOODS_TOTAL__rog,EXPORT_GOODS_TOTAL__yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED__bln_rub,GOV_EXPENSE_ACCUM_FEDERAL__bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL__bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED__bln_rub,GOV_REVENUE_ACCUM_FEDERAL__bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL__bln_rub,GOV_SURPLUS_ACCUM_FEDERAL__bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL__bln_rub,IMPORT_GOODS_TOTAL__bln_usd,IMPORT_GOODS_TOTAL__rog,IMPORT_GOODS_TOTAL__yoy,IND_PROD__rog,IND_PROD__yoy,IND_PROD__ytd
2016-06-30,2016,6,24.0,109.0,79.9,13582.9,7297.9,4340.2,12521.5,5868.7,4616.8,-1429.2,276.6,16.0,110.7,98.7,103.8,102.0,101.3
2016-07-31,2016,7,22.4,93.4,82.1,15784.1,8412.3,5128.9,14932.9,6970.3,5547.7,-1442.0,418.8,16.2,101.3,96.9,99.9,101.4,101.3
2016-08-31,2016,8,23.1,102.9,91.9,18101.9,9588.5,5872.6,17197.8,8144.0,6333.4,-1444.6,460.8,18.5,114.0,113.6,101.5,101.5,101.3
2016-09-30,2016,9,25.4,109.9,96.3,20493.6,10804.9,6663.4,19374.5,9295.4,7031.4,-1509.5,368.1,18.0,97.3,106.9,101.7,100.1,101.2
2016-10-31,2016,10,24.7,97.5,91.7,22875.3,11956.6,7470.7,21871.0,10441.6,8016.2,-1515.0,545.4,18.2,101.2,107.6,106.6,101.6,101.2
2016-11-30,2016,11,26.6,107.4,104.6,25444.1,13170.4,8334.2,24095.8,11436.8,8835.9,-1733.6,501.7,17.6,96.7,107.0,103.6,103.4,101.4
2016-12-31,2016,12,31.3,117.8,108.9,31323.7,16416.4,9936.4,28181.5,13460.0,9923.8,-2956.4,-12.6,19.5,110.6,111.7,105.8,100.2,101.3
2017-01-31,2017,1,25.1,80.3,146.6,1682.9,1230.5,452.2,1978.8,1266.0,493.7,35.5,41.5,13.7,70.2,138.8,76.2,102.3,102.3
2017-02-28,2017,2,25.8,102.5,128.0,3928.2,2371.8,1138.6,3951.1,2290.9,1047.1,-81.0,-91.6,15.6,113.9,121.1,99.4,97.3,99.7
2017-03-31,2017,3,31.3,121.6,135.2,6892.4,3825.5,1976.7,7036.6,3633.3,2325.6,-192.2,348.9,18.7,120.2,121.8,112.7,100.8,100.1
2017-04-30,2017,4,,,,,,,,,,,,,,,97.7,102.3,100.7
